NASDAQ:AGIO,AGIO,Agios Pharmaceuticals Inc. Common Stock
NASDAQ:AGL,AGL,agilon health inc. Common Stock
NASDAQ:AGLE,AGLE,Aeglea BioTherapeutics Inc. Common Stock
NASDAQ:AGM,AGM,Federal Agricultural Mortgage Corporation Common Stock
NASDAQ:AGM^C,AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg
NASDAQ:AGM^D,AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D
NASDAQ:AGM^E,AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E
NASDAQ:AGM^F,AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F
NASDAQ:AGM^G,AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G
NASDAQ:AGMH,AGMH,AGM Group Holdings Inc. Class A Ordinary Shares
NASDAQ:AGNC,AGNC,AGNC Investment Corp. Common Stock
NASDAQ:AGNCM,AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
NASDAQ:AGNCN,AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock
NASDAQ:AGNCO,AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock
NASDAQ:AGNCP,AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
NASDAQ:AGO,AGO,Assured Guaranty Ltd. Common Stock
NASDAQ:AGR,AGR,Avangrid Inc. Common Stock
NASDAQ:AGRI,AGRI,AgriFORCE Growing Systems Ltd. Common Shares
NASDAQ:AGRIW,AGRIW,AgriFORCE Growing Systems Ltd. Warrant
NASDAQ:AGRO,AGRO,Adecoagro S.A. Common Shares
NASDAQ:AGRX,AGRX,Agile Therapeutics Inc. Common Stock
NASDAQ:AGS,AGS,PlayAGS Inc. Common Stock
NASDAQ:AGTC,AGTC,Applied Genetic Technologies Corporation Common Stock
NASDAQ:AGTI,AGTI,Agiliti Inc. Common Stock
NASDAQ:AGX,AGX,Argan Inc. Common Stock
NASDAQ:AGYS,AGYS,Agilysys Inc. Common Stock
NASDAQ:AHCO,AHCO,AdaptHealth Corp. Common Stock
NASDAQ:AHH,AHH,Armada Hoffler Properties Inc. Common Stock
NASDAQ:AHH^A,AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock
NASDAQ:AHL^C,AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares
NASDAQ:AHL^D,AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares
NASDAQ:AHL^E,AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares
NASDAQ:AHPA,AHPA,Avista Public Acquisition Corp. II Class A Ordinary Shares
NASDAQ:AHPAU,AHPAU,Avista Public Acquisition Corp. II Unit
NASDAQ:AHPI,AHPI,Allied Healthcare Products Inc. Common Stock
NASDAQ:AHT,AHT,Ashford Hospitality Trust Inc Common Stock
NASDAQ:AHT^D,AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock
NASDAQ:AHT^F,AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock
NASDAQ:AHT^G,AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock
NASDAQ:AHT^H,AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock
NASDAQ:AHT^I,AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock
NASDAQ:AI,AI,C3.ai Inc. Class A Common Stock
NASDAQ:AIC,AIC,Arlington Asset Investment Corp 6.750% Notes due 2025
NASDAQ:AIF,AIF,Apollo Tactical Income Fund Inc. Common Stock
NASDAQ:AIG,AIG,American International Group Inc. New Common Stock
NASDAQ:AIG^A,AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock
NASDAQ:AIH,AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares
NASDAQ:AIHS,AIHS,Senmiao Technology Limited Common Stock
NASDAQ:AIKI,AIKI,AIkido Pharma Inc. Common Stock
NASDAQ:AIM,AIM,AIM ImmunoTech Inc. Common Stock
NASDAQ:AIMC,AIMC,Altra Industrial Motion Corp. Common Stock
NASDAQ:AIN,AIN,Albany International Corporation Common Stock
NASDAQ:AINC,AINC,Ashford Inc. (Holding Company) Common Stock
NASDAQ:AINV,AINV,Apollo Investment Corporation Common Stock
NASDAQ:AIO,AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares
NASDAQ:AIR,AIR,AAR Corp. Common Stock
NASDAQ:AIRC,AIRC,Apartment Income REIT Corp. Common Stock
NASDAQ:AIRG,AIRG,Airgain Inc. Common Stock
NASDAQ:AIRI,AIRI,Air Industries Group Common Stock
NASDAQ:AIRT,AIRT,Air T Inc. Common Stock
NASDAQ:AIRTP,AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities
NASDAQ:AIT,AIT,Applied Industrial Technologies Inc. Common Stock
NASDAQ:AIV,AIV,Apartment Investment and Management Company Common Stock
NASDAQ:AIZ,AIZ,Assurant Inc. Common Stock
NASDAQ:AIZN,AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061
NASDAQ:AJG,AJG,Arthur J. Gallagher & Co. Common Stock
NASDAQ:AJRD,AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock
NASDAQ:AJX,AJX,Great Ajax Corp. Common Stock
NASDAQ:AJXA,AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024
NASDAQ:AKA,AKA,a.k.a. Brands Holding Corp. Common Stock
NASDAQ:AKAM,AKAM,Akamai Technologies Inc. Common Stock
NASDAQ:AKBA,AKBA,Akebia Therapeutics Inc. Common Stock
NASDAQ:AKICU,AKICU,Sports Ventures Acquisition Corp. Unit
NASDAQ:AKICW,AKICW,Sports Ventures Acquisition Corp. Warrant
NASDAQ:AKO/A,AKO/A,Embotelladora Andina S.A.
NASDAQ:AKO/B,AKO/B,Embotelladora Andina S.A.
NASDAQ:AKR,AKR,Acadia Realty Trust Common Stock
NASDAQ:AKRO,AKRO,Akero Therapeutics Inc. Common Stock
NASDAQ:AKTS,AKTS,Akoustis Technologies Inc. Common Stock
NASDAQ:AKTX,AKTX,Akari Therapeutics plc ADR (0.01 USD)
NASDAQ:AKU,AKU,Akumin Inc. Common Shares
NASDAQ:AKUS,AKUS,Akouos Inc. Common Stock
NASDAQ:AKYA,AKYA,Akoya BioSciences Inc. Common Stock
NASDAQ:AL,AL,Air Lease Corporation Class A Common Stock
NASDAQ:AL^A,AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A
NASDAQ:ALAC,ALAC,Alberton Acquisition Corporation Ordinary Shares
NASDAQ:ALACR,ALACR,Alberton Acquisition Corporation Rights exp April 26 2021
NASDAQ:ALACW,ALACW,Alberton Acquisition Corporation Warrant
NASDAQ:ALB,ALB,Albemarle Corporation Common Stock
NASDAQ:ALBO,ALBO,Albireo Pharma Inc. Common Stock
NASDAQ:ALC,ALC,Alcon Inc. Ordinary Shares
NASDAQ:ALCC,ALCC,AltC Acquisition Corp. Class A Common Stock
NASDAQ:ALCO,ALCO,Alico Inc. Common Stock
NASDAQ:ALDX,ALDX,Aldeyra Therapeutics Inc. Common Stock
NASDAQ:ALE,ALE,Allete Inc.
NASDAQ:ALEC,ALEC,Alector Inc. Common Stock
NASDAQ:ALEX,ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company
NASDAQ:ALF,ALF,ALFI Inc. Common Stock
NASDAQ:ALFIW,ALFIW,ALFI Inc. Warrant
NASDAQ:ALG,ALG,Alamo Group Inc. Common Stock
NASDAQ:ALGM,ALGM,Allegro MicroSystems Inc. Common Stock
NASDAQ:ALGN,ALGN,Align Technology Inc. Common Stock
NASDAQ:ALGS,ALGS,Aligos Therapeutics Inc. Common Stock
NASDAQ:ALGT,ALGT,Allegiant Travel Company Common Stock
NASDAQ:ALHC,ALHC,Alignment Healthcare Inc. Common Stock
NASDAQ:ALIM,ALIM,Alimera Sciences Inc. Common Stock
NASDAQ:ALIN^A,ALIN^A,Altera Infrastructure L.P. 7.25% Series A
NASDAQ:ALIN^B,ALIN^B,Altera Infrastructure L.P. 8.50% Series B
NASDAQ:ALIN^E,ALIN^E,Altera Infrastructure L.P. 8.875% Series E
NASDAQ:ALIT,ALIT,Alight Inc. Class A Common Stock
NASDAQ:ALJJ,ALJJ,ALJ Regional Holdings Inc. Common Stock
NASDAQ:ALK,ALK,Alaska Air Group Inc. Common Stock
NASDAQ:ALKS,ALKS,Alkermes plc Ordinary Shares
NASDAQ:ALKT,ALKT,Alkami Technology Inc. Common Stock
NASDAQ:ALL,ALL,Allstate Corporation (The) Common Stock
NASDAQ:ALL^B,ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053
NASDAQ:ALL^G,ALL^G,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G
NASDAQ:ALL^H,ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H
NASDAQ:ALL^I,ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I
NASDAQ:ALLE,ALLE,Allegion plc Ordinary Shares
NASDAQ:ALLK,ALLK,Allakos Inc. Common Stock
NASDAQ:ALLO,ALLO,Allogene Therapeutics Inc. Common Stock
NASDAQ:ALLT,ALLT,Allot Ltd. Ordinary Shares
NASDAQ:ALLY,ALLY,Ally Financial Inc. Common Stock
NASDAQ:ALNA,ALNA,Allena Pharmaceuticals Inc. Common Stock
NASDAQ:ALNY,ALNY,Alnylam Pharmaceuticals Inc. Common Stock
NASDAQ:ALOT,ALOT,AstroNova Inc. Common Stock
NASDAQ:ALP^Q,ALP^Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share)
NASDAQ:ALPA,ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock
NASDAQ:ALPAU,ALPAU,Alpha Healthcare Acquisition Corp. III Units
NASDAQ:ALPAW,ALPAW,Alpha Healthcare Acquisition Corp. III Warrant
